Formulation,Compressive Strength
"The formulation is Powderkg = 400, wc = 0.45, materials = 0.7/0.3, curing = Ambient curing",35.76
"The formulation is Powderkg = 440, wc = 0.6, materials = 0.7/0.3, curing = Heat curing.",28.65
"The formulation is Powderkg = 430, wc = 0.55, materials = 0.5/0.5, curing = Ambient curing.",47.15
"The formulation is Powderkg = 450, wc = 0.6, materials = 0.5/0.5, curing = Ambient curing.",47.64
"The formulation is Powderkg = 380, wc = 0.45, materials = 0.5/0.5, curing = Ambient curing.",55.85
"The formulation is Powderkg = 420, wc = 0.55, materials = 0.7/0.3, curing = Ambient curing.",26.17
"The formulation is Powderkg = 390, wc = 0.6, materials = 0.5/0.5, curing = Heat curing.",50.9
"The formulation is Powderkg = 380, wc = 0.6, materials = 0.7/0.3, curing = Ambient curing.",25.5
"The formulation is Powderkg = 400, wc = 0.6, materials = 0.5/0.5, curing = Heat curing.",50.41
"The formulation is Powderkg = 410, wc = 0.5, materials = 0.6/0.4, curing = Heat curing.",61.51
