Formulation,Compressive Strength
"The formulation is Powderkg = 400, wc = 0.45, materials = 0.7/0.3, curing = Ambient curing",35.76
"The formulation is Powderkg = 410, wc = 0.5, materials = 0.6/0.4, curing = Heat curing.",61.51
"The formulation is Powderkg = 430, wc = 0.55, materials = 0.5/0.5, curing = Heat curing.",51.92
"The formulation is Powderkg = 420, wc = 0.6, materials = 0.7/0.3, curing = Ambient curing.",25.11
"The formulation is Powderkg = 450, wc = 0.45, materials = 0.6/0.4, curing = Heat curing.",56.56
"The formulation is Powderkg = 380, wc = 0.55, materials = 0.7/0.3, curing = Heat curing.",33.03
"The formulation is Powderkg = 440, wc = 0.5, materials = 0.5/0.5, curing = Ambient curing.",59.23
"The formulation is Powderkg = 370, wc = 0.6, materials = 0.6/0.4, curing = Heat curing.",52.13
"The formulation is Powderkg = 390, wc = 0.45, materials = 0.7/0.3, curing = Heat curing.",40.96
"The formulation is Powderkg = 430, wc = 0.5, materials = 0.6/0.4, curing = Ambient curing.",51.04
